Drug1	Drug2	Drug1_ATC_Code	Drug2_ATC_Code	ATC_Jacard_Sim	Similarity
sofosbuvir	ribavirin	J05AX15,J05AX65	J05AB04	1.0	0.7507029
lopinavir	darunavir	J05AR10	J05AE10,J05AR14,G01AE10	0.5	0.7686967
lopinavir	saquinavir	J05AR10	J05AE01	1.0	0.71447784
lopinavir	ritonavir	J05AR10	J05AX67,J05AR10,J05AE03,J05AX66	1.0	0.7482361
lopinavir	atazanavir	J05AR10	J05AE08,J05AR15	1.0	0.7553007
lopinavir	rilpivirine	J05AR10	J05AR19,J05AG05,J05AR08	1.0	0.70133984
lopinavir	amprenavir	J05AR10	J05AE05	1.0	0.73321396
lopinavir	indinavir	J05AR10	J05AE02	1.0	0.7116026
oxcarbazepine	sulthiame	N03AF02	N03AX03	1.0	0.7314284
oxcarbazepine	levetiracetam	N03AF02	N03AX14	1.0	0.7239081
oxcarbazepine	zonisamide	N03AF02	N03AX15,G01AE10	0.5	0.7305237
oxcarbazepine	clobazam	N03AF02	N05BA09	1.0	0.7696137
oxcarbazepine	stiripentol	N03AF02	N03AX17	1.0	0.73126096
oxcarbazepine	lamotrigine	N03AF02	N03AX09	1.0	0.7508354
tinidazole	ornidazole	J01RA11,P01AB02,J01RA13,J01XD02,A02BD09,G01AF20	J01RA05,G01AF06,P01AB03,J01RA12,J01XD03,J01RA09	0.75	0.8422941
tinidazole	pivmecillinam	J01RA11,P01AB02,J01RA13,J01XD02,A02BD09,G01AF20	J01CR50,J01CA08	0.25	0.72155493
tinidazole	secnidazole	J01RA11,P01AB02,J01RA13,J01XD02,A02BD09,G01AF20	P01AB07,J01RA07	0.5	0.73328763
meprobamate	methaqualone	N05CX01,N05BC51,N05BC01	N05CM01,N05CX02	1.0	0.8137941
meprobamate	glutethimide	N05CX01,N05BC51,N05BC01	N05CE01	1.0	0.776262
meprobamate	oxazepam	N05CX01,N05BC51,N05BC01	N05BA04	1.0	0.74742156
meprobamate	prazepam	N05CX01,N05BC51,N05BC01	N05BA11	1.0	0.7160838
meprobamate	nitrazepam	N05CX01,N05BC51,N05BC01	N05CD02	1.0	0.73026764
meprobamate	secobarbital	N05CX01,N05BC51,N05BC01	N05CA06,N05CB01	1.0	0.7237289
meprobamate	zopiclone	N05CX01,N05BC51,N05BC01	N05CF01	1.0	0.71166086
meprobamate	etizolam	N05CX01,N05BC51,N05BC01	N05BA19	1.0	0.7004931
meprobamate	bromazepam	N05CX01,N05BC51,N05BC01	N05BA08	1.0	0.7453644
meprobamate	nordazepam	N05CX01,N05BC51,N05BC01	N05BA16	1.0	0.71398664
meprobamate	butalbital	N05CX01,N05BC51,N05BC01	N05CB01	1.0	0.7515445
ceftazidime	cefotaxime	J01DD52,J01DD02	J01DD51,J01DD01	1.0	0.72630996
ceftazidime	meropenem	J01DD52,J01DD02	J01DH02	1.0	0.73851395
ceftazidime	aztreonam	J01DD52,J01DD02	J01DF01	1.0	0.7261941
ceftazidime	amikacin	J01DD52,J01DD02	J01RA06,S01AA21,D06AX12,J01GB06	0.3333333333333333	0.74593294
trimetazidine	ranolazine	C01EB15	C01EB18	1.0	0.71453816
lodoxamide	azelastine	S01GX05	R01AC03,S01GX07,R06AX19	0.5	0.7398817
lodoxamide	olopatadine	S01GX05	S01GX09,R01AC08	0.5	0.7698051
lodoxamide	levocabastine	S01GX05	R01AC02,S01GX02	0.5	0.7567328
pranlukast	azelastine	R03DC02	R01AC03,S01GX07,R06AX19	0.5	0.71819127
pranlukast	oxatomide	R03DC02	R06AE06	1.0	0.7061145
pranlukast	seratrodast	R03DC02	R03DX06	1.0	0.79937166
pranlukast	montelukast	R03DC02	R03DC53,R03DC03	1.0	0.741672
pranlukast	zafirlukast	R03DC02	R03DC01	1.0	0.84830844
methoxamine	phenylephrine	C01CA10	R01AA04,S01FB01,R01BA53,S01GA05,S01GA55,R01BA03,C01CA06,R01AB01	0.3333333333333333	0.76012975
methoxamine	isoprenaline	C01CA10	R03AK02,R03CB01,R03CB51,R03AB02,C01CA02	0.5	0.7278116
lepirudin	desirudin	B01AE02	B01AE01	1.0	0.7379372
lepirudin	argatroban	B01AE02	B01AE03	1.0	0.83253574
lumefantrine	artemether	P01BF01	P01BE02,P01BF01	1.0	0.7441206
lumefantrine	piperaquine	P01BF01	P01BF05	1.0	0.79389244
sufentanil	propofol	N01AH03	N01AX10	1.0	0.71665376
sufentanil	remifentanil	N01AH03	N01AH06	1.0	0.78359294
sufentanil	nefopam	N01AH03	N02BG06	1.0	0.70850146
sufentanil	dexmedetomidine	N01AH03	N05CM18	1.0	0.72939146
sufentanil	alfentanil	N01AH03	N01AH02	1.0	0.76636845
trandolapril	eprosartan	C09AA10,C09BB10	C09CA02,C09DA02	1.0	0.7005432
trandolapril	cilazapril	C09AA10,C09BB10	C09BA08,C09AA08	1.0	0.748639
trandolapril	spirapril	C09AA10,C09BB10	C09AA11	1.0	0.7112996
trandolapril	indapamide	C09AA10,C09BB10	C03BA11,C09BX01,G01AE10	0.5	0.7705359
trandolapril	manidipine	C09AA10,C09BB10	C08CA11,C09BB12	1.0	0.730656
trandolapril	lercanidipine	C09AA10,C09BB10	C09DB08,C08CA13,C09BB02	1.0	0.72168803
trandolapril	temocapril	C09AA10,C09BB10	C09AA14	1.0	0.71288013
trandolapril	imidapril	C09AA10,C09BB10	C09AA16	1.0	0.71807957
trandolapril	lacidipine	C09AA10,C09BB10	C08CA09	1.0	0.7098757
trandolapril	delapril	C09AA10,C09BB10	C09BA12,C09BB12,C09AA12	1.0	0.76151377
trandolapril	ramipril	C09AA10,C09BB10	C09AA05,C10BX04,C10BX06,C09BA05,C09BB07,C09BB05	1.0	0.73535717
trandolapril	zofenopril	C09AA10,C09BB10	C09BA15,C09AA15	1.0	0.7161829
trandolapril	quinapril	C09AA10,C09BB10	C09AA06,C09BA06	1.0	0.76629823
enoxaparin	bemiparin	B01AB05	B01AB12	1.0	0.73551065
enoxaparin	rivaroxaban	B01AB05	B01AF01	1.0	0.7191977
enoxaparin	fondaparinux	B01AB05	B01AX05	1.0	0.7881424
enoxaparin	dalteparin	B01AB05	B01AB04	1.0	0.7593508
enoxaparin	tinzaparin	B01AB05	B01AB10	1.0	0.7646477
pentamidine	melarsoprol	P01CX01	P01CD01	1.0	0.74965906
belatacept	basiliximab	L04AA28	L04AC02	1.0	0.7406479
rufloxacin	temafloxacin	J01MA10	J01MA05	1.0	0.75218993
rufloxacin	trovafloxacin	J01MA10	J01MA13	1.0	0.7048508
rufloxacin	grepafloxacin	J01MA10	J01MA11	1.0	0.7094479
rufloxacin	brodimoprim	J01MA10	J01EA02	1.0	0.70048034
rufloxacin	rosoxacin	J01MA10	J01MB01	1.0	0.72883105
rufloxacin	fleroxacin	J01MA10	J01MA08	1.0	0.7420973
rufloxacin	cinoxacin	J01MA10	J01MB06	1.0	0.7240886
rufloxacin	sparfloxacin	J01MA10	J01MA09	1.0	0.7016553
rufloxacin	pefloxacin	J01MA10	J01MA03	1.0	0.70911
rufloxacin	prulifloxacin	J01MA10	J01MA17	1.0	0.7065517
butriptyline	viloxazine	N06AA15	N06AX09	1.0	0.77857685
butriptyline	trimipramine	N06AA15	N06AA06	1.0	0.7100752
dicyclomine	biperiden	A03AA07	N04AA02	0.0	0.71198225
dicyclomine	diphenoxylate	A03AA07	A07DA01	1.0	0.7139122
dicyclomine	tolperisone	A03AA07	M03BX04,M02AX06	0.0	0.71062934
dicyclomine	flavoxate	A03AA07	G04BD02	0.0	0.72276515
dicyclomine	eperisone	A03AA07	M03BX09	0.0	0.7113188
artemether	artesunate	P01BE02,P01BF01	P01BF03,P01BF04,P01BE03,P01BF02,P01BF06	1.0	0.7723843
reproterol	procaterol	R03AC15,R03CC14,R03AK05	R03AC16,R03CC08	1.0	0.74417037
reproterol	fenoterol	R03AC15,R03CC14,R03AK05	R03AL01,R03AC04,R03CC04,G02CA03	0.5	0.7182772
dinoprostone	gemeprost	G02AD02	G02AD03	1.0	0.71304387
lormetazepam	clotiazepam	N05CD06	N05BA21	1.0	0.708158
lormetazepam	brotizolam	N05CD06	N05CD09	1.0	0.8218482
lormetazepam	prazepam	N05CD06	N05BA11	1.0	0.74973977
lormetazepam	loprazolam	N05CD06	N05CD11	1.0	0.82369536
lormetazepam	triazolam	N05CD06	N05CD05	1.0	0.73507905
lormetazepam	nitrazepam	N05CD06	N05CD02	1.0	0.7827099
lormetazepam	estazolam	N05CD06	N05CD04	1.0	0.703097
lormetazepam	zopiclone	N05CD06	N05CF01	1.0	0.745024
lormetazepam	halazepam	N05CD06	N05BA13	1.0	0.7425405
lormetazepam	bromazepam	N05CD06	N05BA08	1.0	0.7942389
lormetazepam	quazepam	N05CD06	N05CD10	1.0	0.8089219
lormetazepam	zaleplon	N05CD06	N05CF03	1.0	0.73056066
tioconazole	tolnaftate	G01AF08,G01AF20,D01AC07	D01AE18	0.5	0.8074675
tioconazole	oxiconazole	G01AF08,G01AF20,D01AC07	D01AC11,G01AF17,G01AF20	1.0	0.7666089
tioconazole	naftifine	G01AF08,G01AF20,D01AC07	D01AE22	0.5	0.7294253
tioconazole	amorolfine	G01AF08,G01AF20,D01AC07	D01AE16	0.5	0.71241146
tioconazole	clotrimazole	G01AF08,G01AF20,D01AC07	G01AF02,D01AC01,G01AF20,A01AB18	0.6666666666666666	0.71029454
tioconazole	butenafine	G01AF08,G01AF20,D01AC07	D01AE23	0.5	0.705986
tioconazole	sulconazole	G01AF08,G01AF20,D01AC07	D01AC09	0.5	0.71834344
tioconazole	econazole	G01AF08,G01AF20,D01AC07	G01AF05,D01AC03,G01AF20	1.0	0.70173335
tioconazole	isoconazole	G01AF08,G01AF20,D01AC07	G01AF07,D01AC05,G01AF20	1.0	0.7198607
tioconazole	sertaconazole	G01AF08,G01AF20,D01AC07	D01AC14,G01AF20,G01AF19	1.0	0.725269
docetaxel	paclitaxel	L01CD02	L01CD01	1.0	0.7678327
docetaxel	cabazitaxel	L01CD02	L01CD04	1.0	0.72234553
sotalol	aprindine	C07AA57,C07BA07,C07AA07	C01BB04	1.0	0.722848
sotalol	flecainide	C07AA57,C07BA07,C07AA07	C01BC04	1.0	0.80284953
sotalol	dronedarone	C07AA57,C07BA07,C07AA07	C01BD07	1.0	0.7044627
sotalol	propafenone	C07AA57,C07BA07,C07AA07	C01BC03	1.0	0.78931594
sotalol	amiodarone	C07AA57,C07BA07,C07AA07	C01BD01	1.0	0.76092494
sotalol	dofetilide	C07AA57,C07BA07,C07AA07	C01BD04	1.0	0.79627717
sotalol	vernakalant	C07AA57,C07BA07,C07AA07	C01BG11	1.0	0.75201756
sotalol	ibutilide	C07AA57,C07BA07,C07AA07	C01BD05	1.0	0.7829276
sotalol	disopyramide	C07AA57,C07BA07,C07AA07	C01BA03	1.0	0.7480381
tolterodine	alfuzosin	G04BD07	G04CA51,G04CA01	1.0	0.7331301
tolterodine	propiverine	G04BD07	G04BD06	1.0	0.70830417
tolterodine	mirabegron	G04BD07	G04BD12	1.0	0.7234348
tolterodine	oxybutynin	G04BD07	G04BD04	1.0	0.72497445
saxagliptin	voglibose	A10BD10,A10BH03,A10BD21	A10BF03	1.0	0.7045327
saxagliptin	linagliptin	A10BD10,A10BH03,A10BD21	A10BH05,A10BD19,A10BD11	1.0	0.7852442
saxagliptin	alogliptin	A10BD10,A10BH03,A10BD21	A10BD13,A10BD09,A10BH04	1.0	0.80509484
saxagliptin	vildagliptin	A10BD10,A10BH03,A10BD21	A10BH02,A10BD08	1.0	0.7091052
saxagliptin	canagliflozin	A10BD10,A10BH03,A10BD21	A10BD16,A10BX11	1.0	0.78374135
saxagliptin	sitagliptin	A10BD10,A10BH03,A10BD21	A10BH51,A10BD12,A10BH01,A10BD07	1.0	0.7664374
saxagliptin	empagliflozin	A10BD10,A10BH03,A10BD21	A10BD19,A10BX12,A10BD20	1.0	0.72058135
saxagliptin	glimepiride	A10BD10,A10BH03,A10BD21	A10BB12,A10BD06,A10BD04	1.0	0.74330133
domperidone	metoclopramide	A03FA03	A03FA01	1.0	0.76457334
domperidone	cisapride	A03FA03	A03FA02	1.0	0.72601885
oxycodone	morphine	N02AA55,N02AA05	N02AA01,N02AA51,A07DA52,N02AG01	0.5	0.72312886
oxycodone	hydromorphone	N02AA55,N02AA05	N02AG04,N02AA03	1.0	0.75364476
ezetimibe	pitavastatin	C10BA02,C10BA05,C10AX09,C10BA06	C10AA08	1.0	0.7382244
ezetimibe	rosuvastatin	C10BA02,C10BA05,C10AX09,C10BA06	C10BX10,C10BX05,C10AA07,C10BA06,C10BX07,G01AE10,C10BX09	0.5	0.72343117
nepafenac	brimonidine	S01BC10	S01EA05,D11AX21	0.5	0.7114145
nepafenac	dorzolamide	S01BC10	S01EC03	1.0	0.7485674
nepafenac	fluorometholone	S01BC10	D07XB04,C05AA06,S01BA07,D10AA01,D07AB06,S01CB05,S01BB03,D07CB03,S01CA07	0.3333333333333333	0.7505305
nepafenac	tafluprost	S01BC10	S01EE05	1.0	0.7126665
nepafenac	travoprost	S01BC10	S01EE04	1.0	0.73094
nepafenac	bimatoprost	S01BC10	S01EE03	1.0	0.7046656
nepafenac	bromfenac	S01BC10	S01BC11	1.0	0.8370669
nepafenac	difluprednate	S01BC10	D07AC19	0.0	0.7757206
deferasirox	deferiprone	V03AC03	V03AC02	1.0	0.7967361
pazufloxacin	pefloxacin	J01MA18	J01MA03	1.0	0.707316
pazufloxacin	gemifloxacin	J01MA18	J01MA15	1.0	0.71918917
nicardipine	labetalol	C08CA04	C07BG01,C07CG01,C07AG01	1.0	0.75759965
nicardipine	diltiazem	C08CA04	C05AE03,C08DB01	1.0	0.7877382
nicardipine	nitrendipine	C08CA04	C08CA08,C09BB06	1.0	0.70995575
nicardipine	clevidipine	C08CA04	C08CA16	1.0	0.76259756
nicardipine	nifedipine	C08CA04	C08CA05,C08GA01,C08CA55	1.0	0.7070829
nicardipine	urapidil	C08CA04	C02CA06	1.0	0.73553187
temocillin	cefixime	J01CR50,J01CA17	J01DD08	1.0	0.7222723
temocillin	arbekacin	J01CR50,J01CA17	J01GB12	1.0	0.70456463
temocillin	cefmetazole	J01CR50,J01CA17	J01DC09	1.0	0.72323686
temocillin	tazobactam	J01CR50,J01CA17	J01CG02	1.0	0.71561706
temocillin	biapenem	J01CR50,J01CA17	J01DH05	1.0	0.72958666
temocillin	ertapenem	J01CR50,J01CA17	J01DH03	1.0	0.735698
temocillin	faropenem	J01CR50,J01CA17	J01DI03	1.0	0.7976758
temocillin	cefoxitin	J01CR50,J01CA17	J01DC01	1.0	0.74049306
temocillin	cefoperazone	J01CR50,J01CA17	J01DD12,J01DD62	1.0	0.7180844
temocillin	flomoxef	J01CR50,J01CA17	J01DC14	1.0	0.7336491
temocillin	sitafloxacin	J01CR50,J01CA17	J01MA21	1.0	0.7453584
temocillin	doripenem	J01CR50,J01CA17	J01DH04	1.0	0.71477395
temocillin	ceftizoxime	J01CR50,J01CA17	J01DD07	1.0	0.76920414
temocillin	cefpodoxime	J01CR50,J01CA17	J01DD13	1.0	0.7158027
temocillin	ceftobiprole	J01CR50,J01CA17	J01DI01	1.0	0.718044
temocillin	sulbactam	J01CR50,J01CA17	J01CG01	1.0	0.7283431
temocillin	cefpirome	J01CR50,J01CA17	J01DE02	1.0	0.7102683
rupatadine	azelastine	R06AX28	R01AC03,S01GX07,R06AX19	0.5	0.72525954
rupatadine	olopatadine	R06AX28	S01GX09,R01AC08	0.5	0.7461589
rupatadine	mizolastine	R06AX28	R06AX25	1.0	0.76979125
rupatadine	bilastine	R06AX28	R06AX29	1.0	0.7897396
rupatadine	desloratadine	R06AX28	R06AX27	1.0	0.8675135
rupatadine	ebastine	R06AX28	R06AX22	1.0	0.78908604
rupatadine	cetirizine	R06AX28	R06AE07	1.0	0.8225398
rupatadine	loratadine	R06AX28	R06AX13	1.0	0.76423883
telbivudine	entecavir	J05AF11	J05AF10	1.0	0.7729912
trichlormethiazide	triamterene	C03AA06,C03AB06,C03EA02,G01AE10	C03DB02	0.5	0.721627
trichlormethiazide	cyclopenthiazide	C03AA06,C03AB06,C03EA02,G01AE10	C03AB07,C03AA07,C03EA07,G01AE10	1.0	0.7254022
trichlormethiazide	eprosartan	C03AA06,C03AB06,C03EA02,G01AE10	C09CA02,C09DA02	0.5	0.7002706
trichlormethiazide	clopamide	C03AA06,C03AB06,C03EA02,G01AE10	C03BA03,C03BB03	0.5	0.73120344
trichlormethiazide	metolazone	C03AA06,C03AB06,C03EA02,G01AE10	C03BA08,C03EA12,G01AE10	1.0	0.7724364
trichlormethiazide	cilazapril	C03AA06,C03AB06,C03EA02,G01AE10	C09BA08,C09AA08	0.5	0.7242857
trichlormethiazide	spirapril	C03AA06,C03AB06,C03EA02,G01AE10	C09AA11	0.5	0.7405311
trichlormethiazide	torasemide	C03AA06,C03AB06,C03EA02,G01AE10	C03CA04,G01AE10	1.0	0.7020909
trichlormethiazide	indapamide	C03AA06,C03AB06,C03EA02,G01AE10	C03BA11,C09BX01,G01AE10	1.0	0.7328182
trichlormethiazide	manidipine	C03AA06,C03AB06,C03EA02,G01AE10	C08CA11,C09BB12	0.5	0.73578274
trichlormethiazide	chlorthalidone	C03AA06,C03AB06,C03EA02,G01AE10	C03BA04,C03BB04,C03EA06,G01AE10	1.0	0.75958174
trichlormethiazide	benazepril	C03AA06,C03AB06,C03EA02,G01AE10	C09AA07,C09BA07	0.5	0.71361065
trichlormethiazide	fosinopril	C03AA06,C03AB06,C03EA02,G01AE10	C09AA09,C09BA09	0.5	0.7122019
trichlormethiazide	chlorothiazide	C03AA06,C03AB06,C03EA02,G01AE10	C03AA04,C03AB04,C03AH01,G01AE10	1.0	0.74397427
trichlormethiazide	bendroflumethiazide	C03AA06,C03AB06,C03EA02,G01AE10	C03EA13,C03AA01,C03AB01,G01AE10	1.0	0.85150295
trichlormethiazide	delapril	C03AA06,C03AB06,C03EA02,G01AE10	C09BA12,C09BB12,C09AA12	0.5	0.75881076
trichlormethiazide	quinapril	C03AA06,C03AB06,C03EA02,G01AE10	C09AA06,C09BA06	0.5	0.7126163
zotepine	flupentixol	N05AX11	N05AF01	1.0	0.758256
zotepine	amineptine	N05AX11	N06AA19	1.0	0.7249844
zotepine	viloxazine	N05AX11	N06AX09	1.0	0.7268582
zotepine	remoxipride	N05AX11	N05AL04	1.0	0.8090931
zotepine	opipramol	N05AX11	N06AA05	1.0	0.7010266
zotepine	fluspirilene	N05AX11	N05AG01	1.0	0.7525274
zotepine	benperidol	N05AX11	N05AD07	1.0	0.7596964
zotepine	iloperidone	N05AX11	N05AX14	1.0	0.71768886
zotepine	clopenthixol	N05AX11	N05AF02	1.0	0.72758734
zotepine	molindone	N05AX11	N05AE02	1.0	0.8012906
zotepine	sertindole	N05AX11	N05AE03	1.0	0.77596235
zotepine	pipamperone	N05AX11	N05AD05	1.0	0.70019233
zotepine	amoxapine	N05AX11	N06AA17	1.0	0.76923925
zotepine	chlorprothixene	N05AX11	N05AF03	1.0	0.7348112
zotepine	melperone	N05AX11	N05AD03	1.0	0.80144197
zotepine	mesoridazine	N05AX11	N05AC03	1.0	0.73275834
zotepine	bromperidol	N05AX11	N05AD06	1.0	0.7937295
zotepine	tiapride	N05AX11	N05AL03	1.0	0.7504941
zotepine	trimipramine	N05AX11	N06AA06	1.0	0.71864563
tranylcypromine	nialamide	N06AF04	N06AF02	1.0	0.70377356
tranylcypromine	isocarboxazid	N06AF04	N06AF01	1.0	0.7218406
tranylcypromine	phenelzine	N06AF04	N06AF03	1.0	0.83699334
tranylcypromine	mianserin	N06AF04	N06AX03	1.0	0.71833515
tranylcypromine	zimelidine	N06AF04	N06AB02	1.0	0.70007956
tranylcypromine	moclobemide	N06AF04	N06AG02	1.0	0.74511707
clidinium	methantheline	A03CA02	A03AB07	1.0	0.7216496
clidinium	cimetropium	A03CA02	A03BB05	1.0	0.79919773
clidinium	pinaverium	A03CA02	A03AX04	1.0	0.81612766
clidinium	otilonium	A03CA02	A03AB06,A03CA04	1.0	0.8081025
clidinium	mepenzolate	A03CA02	A03AB12	1.0	0.71741915
clidinium	distigmine	A03CA02	N07AA03	0.0	0.7265937
clidinium	demecarium	A03CA02	S01EB04	0.0	0.7291188
clidinium	timepidium	A03CA02	A03AB19	1.0	0.73627645
glipizide	voglibose	A10BB07	A10BF03	1.0	0.72836155
glipizide	mitiglinide	A10BB07	A10BX08	1.0	0.7562853
glipizide	gliquidone	A10BB07	A10BB08	1.0	0.76432294
glipizide	nateglinide	A10BB07	A10BX03	1.0	0.79885364
glipizide	glyburide	A10BB07	A10BB01	1.0	0.72635967
glipizide	repaglinide	A10BB07	A10BD14,A10BX02	1.0	0.7653006
glipizide	glimepiride	A10BB07	A10BB12,A10BD06,A10BD04	1.0	0.8064827
nalmefene	acamprosate	N07BB05	N07BB03	1.0	0.707623
atorvastatin	fluvastatin	C10AA05,C10BX06,C10BA05,C10BX11,C10BX03,C10BX08	C10AA04	1.0	0.7238207
atorvastatin	simvastatin	C10AA05,C10BX06,C10BA05,C10BX11,C10BX03,C10BX08	C10BX04,C10BA02,C10BA04,A10BH51,C10AA01,C10BX01	0.5	0.79945695
atorvastatin	pitavastatin	C10AA05,C10BX06,C10BA05,C10BX11,C10BX03,C10BX08	C10AA08	1.0	0.712981
atorvastatin	pravastatin	C10AA05,C10BX06,C10BA05,C10BX11,C10BX03,C10BX08	C10AA03,C10BX02,C10BA03	1.0	0.74191254
atorvastatin	rosuvastatin	C10AA05,C10BX06,C10BA05,C10BX11,C10BX03,C10BX08	C10BX10,C10BX05,C10AA07,C10BA06,C10BX07,G01AE10,C10BX09	0.5	0.79989123
sonidegib	vismodegib	L01XX48	L01XX43	1.0	0.75859547
ketanserin	mianserin	C02KD01	N06AX03	0.0	0.7003589
ketanserin	metergoline	C02KD01	G02CB05	0.0	0.76030064
ketanserin	methysergide	C02KD01	N02CA04	0.0	0.80850714
procyclidine	biperiden	N04AA04	N04AA02	1.0	0.7777213
procyclidine	trihexyphenidyl	N04AA04	N04AA01	1.0	0.7410199
pegvisomant	cabergoline	H01AX01	N04BC06,G02CB03	0.0	0.7122418
pegvisomant	pasireotide	H01AX01	H01CB05	1.0	0.7256578
azelastine	olopatadine	R01AC03,S01GX07,R06AX19	S01GX09,R01AC08	1.0	0.84301955
azelastine	mizolastine	R01AC03,S01GX07,R06AX19	R06AX25	0.5	0.77132815
azelastine	mequitazine	R01AC03,S01GX07,R06AX19	R06AD07	0.5	0.71096146
azelastine	oxatomide	R01AC03,S01GX07,R06AX19	R06AE06	0.5	0.7822517
azelastine	clemastine	R01AC03,S01GX07,R06AX19	D04AA14,R06AA04,R06AA54	0.3333333333333333	0.7202208
azelastine	levocabastine	R01AC03,S01GX07,R06AX19	R01AC02,S01GX02	1.0	0.83578795
azelastine	emedastine	R01AC03,S01GX07,R06AX19	S01GX06	0.5	0.74624246
azelastine	desloratadine	R01AC03,S01GX07,R06AX19	R06AX27	0.5	0.7072011
azelastine	zafirlukast	R01AC03,S01GX07,R06AX19	R03DC01	0.5	0.73052496
azelastine	cetirizine	R01AC03,S01GX07,R06AX19	R06AE07	0.5	0.77280146
azelastine	loratadine	R01AC03,S01GX07,R06AX19	R06AX13	0.5	0.7100746
triamterene	metolazone	C03DB02	C03BA08,C03EA12,G01AE10	0.5	0.77225643
triamterene	torasemide	C03DB02	C03CA04,G01AE10	0.5	0.74368244
triamterene	chlorothiazide	C03DB02	C03AA04,C03AB04,C03AH01,G01AE10	0.5	0.8055375
triamterene	bendroflumethiazide	C03DB02	C03EA13,C03AA01,C03AB01,G01AE10	0.5	0.7657517
triamterene	hydroflumethiazide	C03DB02	C03AB02,C03AA02,C03AH02,G01AE10	0.5	0.73876333
methadone	buprenorphine	N07BC02,N02AC52	N02AE01,N07BC01,N07BC51	1.0	0.7552505
sulfamethoxazole	trimethoprim	J01EE01,J01EC01,G01AE10	J01EE07,J01EE01,J01EA01,J01EE05,J01EE02,J01EE04,J01EE03	0.5	0.7251949
haloperidol	olanzapine	N05AD01	N05AH03	1.0	0.7706563
haloperidol	aripiprazole	N05AD01	N05AX12	1.0	0.73741794
haloperidol	clozapine	N05AD01	N05AH02	1.0	0.71410453
haloperidol	amisulpride	N05AD01	N05AL05	1.0	0.709933
brimonidine	dorzolamide	S01EA05,D11AX21	S01EC03	0.5	0.77331245
brimonidine	timolol	S01EA05,D11AX21	C07DA06,S01ED01,S01ED51,C07AA06,C07BA06	0.3333333333333333	0.8175396
brimonidine	carteolol	S01EA05,D11AX21	S01ED55,S01ED05,C07AA15	0.3333333333333333	0.7401962
brimonidine	travoprost	S01EA05,D11AX21	S01EE04	0.5	0.7356666
brimonidine	bimatoprost	S01EA05,D11AX21	S01EE03	0.5	0.7067967
brimonidine	betaxolol	S01EA05,D11AX21	C07AB05,S01ED52,S01ED02	0.3333333333333333	0.7329141
nebivolol	carvedilol	C07FB12,C07AB12,C07BB12	C07AG02	1.0	0.737827
nebivolol	metoprolol	C07FB12,C07AB12,C07BB12	C07BB02,C07AB02,C07AB52,C07BB52,C07CB02,C07FB02	1.0	0.71965575
nebivolol	amlodipine	C07FB12,C07AB12,C07BB12	C09DB05,C09DX03,C09DB01,C09DB04,C09DX01,C09DB07,C09DB06,C10BX11,C08GA02,C10BX03,C09DB02,C09BB03,C08CA01,C09BB07,C09XA54,C09XA53,C09BX01,C09BB04,C10BX07,C10BX09	1.0	0.7082416
nebivolol	cilnidipine	C07FB12,C07AB12,C07BB12	C08CA14	1.0	0.70930094
nebivolol	barnidipine	C07FB12,C07AB12,C07BB12	C08CA12	1.0	0.73366416
nebivolol	candesartan	C07FB12,C07AB12,C07BB12	C09CA06,C09DB07,C09DA06	1.0	0.735373
nebivolol	lercanidipine	C07FB12,C07AB12,C07BB12	C09DB08,C08CA13,C09BB02	1.0	0.7708429
nebivolol	fimasartan	C07FB12,C07AB12,C07BB12	C09CA10	1.0	0.7027689
nebivolol	valsartan	C07FB12,C07AB12,C07BB12	C09DB08,C09DX02,C10BX10,C09DB01,C09DX01,C09DA03,C09CA03,C09DX04	1.0	0.7177297
nebivolol	benidipine	C07FB12,C07AB12,C07BB12	C08CA15	1.0	0.7622293
nebivolol	doxazosin	C07FB12,C07AB12,C07BB12	C02CA04	1.0	0.7051832
nebivolol	ramipril	C07FB12,C07AB12,C07BB12	C09AA05,C10BX04,C10BX06,C09BA05,C09BB07,C09BB05	1.0	0.71155304
nebivolol	bisoprolol	C07FB12,C07AB12,C07BB12	C07BB07,C09BX02,C07FB07,C07AB57,C07AB07	1.0	0.7082379
nebivolol	telmisartan	C07FB12,C07AB12,C07BB12	C09DB04,C09DA07,C09CA07	1.0	0.7444205
lisuride	piribedil	G02CB02,N02CA07	N04BC08	0.5	0.7703966
lisuride	pergolide	G02CB02,N02CA07	N04BC02	0.5	0.73274875
deferoxamine	deferiprone	V03AC01	V03AC02	1.0	0.71673846
methantheline	cimetropium	A03AB07	A03BB05	1.0	0.78156924
methantheline	pinaverium	A03AB07	A03AX04	1.0	0.7960517
methantheline	otilonium	A03AB07	A03AB06,A03CA04	1.0	0.79086566
methantheline	methscopolamine	A03AB07	A03CB01,S01FA03,A03BB03	0.5	0.70086557
methantheline	mepenzolate	A03AB07	A03AB12	1.0	0.73850584
methantheline	distigmine	A03AB07	N07AA03	0.0	0.7314732
cetrorelix	goserelin	H01CC02	L02AE03	0.0	0.71274567
cetrorelix	leuprolide	H01CC02	L02AE02	0.0	0.7701532
cetrorelix	buserelin	H01CC02	L02AE01	0.0	0.7931894
cetrorelix	triptorelin	H01CC02	L02AE04	0.0	0.7826405
fluvastatin	simvastatin	C10AA04	C10BX04,C10BA02,C10BA04,A10BH51,C10AA01,C10BX01	0.5	0.7183291
